date,project_id,total_cost
2026-03-01,01E9B5-60A8A4-E1FE52,18497585.651147816
2026-03-02,01E9B5-60A8A4-E1FE52,18498364.072199937
2026-03-03,01E9B5-60A8A4-E1FE52,18498392.76470394
2026-03-04,01E9B5-60A8A4-E1FE52,18498393.378307324
2026-03-06,01E9B5-60A8A4-E1FE52,36996794.88901833
2026-03-07,01E9B5-60A8A4-E1FE52,18498402.2964858
2026-03-08,01E9B5-60A8A4-E1FE52,18498401.6164859
2026-03-10,01E9B5-60A8A4-E1FE52,36996822.55382943
2026-03-11,01E9B5-60A8A4-E1FE52,18498420.851914614
2026-03-12,01E9B5-60A8A4-E1FE52,18498420.851914715
2026-03-14,01E9B5-60A8A4-E1FE52,36996908.24382943
2026-03-15,01E9B5-60A8A4-E1FE52,18498454.121914715
2026-03-16,01E9B5-60A8A4-E1FE52,18498445.76556945
2026-03-17,01E9B5-60A8A4-E1FE52,18498445.76556945
